"p"	"count"
"http://dbpedia.org/property/college"	36456
"http://dbpedia.org/property/lastSingle"	36443
"http://dbpedia.org/property/branch"	36386
"http://dbpedia.org/property/blank1Info"	36341
"http://dbpedia.org/ontology/commander"	36271
"http://dbpedia.org/property/elevationMaxM"	35790
"http://dbpedia.org/property/areaWaterKm"	35775
"http://dbpedia.org/property/result"	35758
"http://dbpedia.org/property/conference"	35744
"http://dbpedia.org/property/elevationMinM"	35614
"http://dbpedia.org/property/points"	35520
"http://dbpedia.org/property/ground"	35471
"http://dbpedia.org/property/kanjititle"	34817
"http://dbpedia.org/property/architect"	34796
"http://dbpedia.org/property/superfamilia"	34683
"http://dbpedia.org/property/wickets"	34498
"http://dbpedia.org/property/guests"	34449
"http://dbpedia.org/ontology/yearOfConstruction"	34291
"http://dbpedia.org/property/unrankedOrdo"	33990
"http://dbpedia.org/property/architecture"	33934
"http://dbpedia.org/property/studio"	33738
"http://dbpedia.org/ontology/motto"	33687
"http://dbpedia.org/property/d"	33588
"http://www.wikidata.org/entity/P281"	33570
"http://dbpedia.org/ontology/address"	33529
"http://dbpedia.org/property/airdate"	33511
"http://www.w3.org/2004/02/skos/core#related"	33333
"http://dbpedia.org/ontology/league"	33310
"http://dbpedia.org/ontology/militaryBranch"	33136
"http://www.wikidata.org/entity/P75"	32990
"http://dbpedia.org/property/populationDensitySqMi"	32893
"http://dbpedia.org/property/romajititle"	32836
"http://dbpedia.org/property/knownFor"	32810
"http://dbpedia.org/ontology/builder"	32600
"http://dbpedia.org/ontology/locatedInArea"	32443
"http://dbpedia.org/ontology/ground"	32334
"http://dbpedia.org/property/populationBlank1Title"	32024
"http://dbpedia.org/property/establishedTitle"	32022
"http://dbpedia.org/property/directedby"	31619
"http://dbpedia.org/property/penalties"	31588
"http://dbpedia.org/property/dates"	31478
"http://dbpedia.org/property/m"	31241
"http://dbpedia.org/property/establishedDate"	30983
"http://dbpedia.org/ontology/headquarter"	30798
"http://dbpedia.org/property/race"	30743
"http://dbpedia.org/property/weight"	30739
"http://www.wikidata.org/entity/P94"	30708
"http://dbpedia.org/property/venue"	30665
"http://dbpedia.org/property/motto"	30467
"http://dbpedia.org/property/headline"	30371
"http://dbpedia.org/property/showName"	30225
"http://dbpedia.org/property/previous"	29965
"http://dbpedia.org/property/operator"	29934
"http://dbpedia.org/property/count"	29819
"http://www.wikidata.org/entity/P273"	29753
"http://dbpedia.org/property/place"	29591
"http://dbpedia.org/ontology/guest"	29553
"http://dbpedia.org/property/num"	29526
"http://dbpedia.org/ontology/MeanOfTransportation/length"	29308
"http://dbpedia.org/property/fam"	29265
"http://dbpedia.org/property/locale"	29234
"http://dbpedia.org/property/intercommunality"	29190
"http://dbpedia.org/property/event"	29139
"http://dbpedia.org/property/network"	29115
"http://dbpedia.org/ontology/sisterStation"	29114
"http://dbpedia.org/property/tv"	28859
"http://dbpedia.org/property/overall"	28846
"http://dbpedia.org/property/rd4Seed"	28820
"http://dbpedia.org/property/h"	28809
"http://dbpedia.org/ontology/religion"	28376
"http://dbpedia.org/ontology/cinematography"	28345
"http://dbpedia.org/ontology/bandMember"	28200
"http://dbpedia.org/property/statlabel"	28126
"http://dbpedia.org/property/shipBuilder"	28090
"http://dbpedia.org/property/frequency"	28050
"http://dbpedia.org/ontology/field"	28023
"http://dbpedia.org/property/longD"	27911
"http://dbpedia.org/property/latD"	27897
"http://dbpedia.org/ontology/keyPerson"	27893
"http://dbpedia.org/ontology/knownFor"	27875
"http://dbpedia.org/property/road"	27853
"http://dbpedia.org/property/companyName"	27644
"http://dbpedia.org/property/home"	27639
"http://dbpedia.org/property/debutteam"	27407
"http://dbpedia.org/ontology/combatant"	27228
"http://dbpedia.org/property/line"	27154
"http://dbpedia.org/property/sport"	27149
"http://dbpedia.org/property/casualties"	27108
"http://dbpedia.org/property/data"	27086
"http://dbpedia.org/ontology/strength"	27086
"http://dbpedia.org/ontology/literaryGenre"	26998
"http://dbpedia.org/ontology/network"	26979
"http://dbpedia.org/property/age"	26933
